Country,kisi sayisi
CHINA,4092785
UNITED STATES,3163927
PHILIPPINES,2282125
UNITED KINGDOM,1248709
BRAZIL,1056759
RUSSIA,1007561
ITALY,796805
MEXICO,745403
INDIA,503305
FRANCE,497913
INDONESIA,405032
UKRAINE,326717
SPAIN,312048
CANADA,309942
GERMANY,289373
MALAYSIA,271751
SOUTH KOREA,269252
AUSTRALIA,252048
KAZAKHSTAN,235180
PERU,209435
COLOMBIA,193505
POLAND,192394
TURKEY,181876
ARGENTINA,175402
CHILE,162755
ECUADOR,110090
CZECHIA,109183
VIETNAM,105094
IRAN,92571
IRELAND,91390
TAIWAN,87505
BELARUS,84889
PORTUGAL,83732
SWEDEN,83009
ROMANIA,76668
HONG KONG SAR CHINA,72251
BELGIUM,70970
THAILAND,70883
ARMENIA,61968
GREECE,59093
NETHERLANDS,58279
BANGLADESH,57879
AFGHANISTAN,56037
SOUTH AFRICA,55918
EGYPT,54580
HUNGARY,51372
ALBANIA,47603
UZBEKISTAN,47209
COSTA RICA,46904
ALGERIA,46656
SAUDI ARABIA,46654
AUSTRIA,45939
UNITED ARAB EMIRATES,42932
SWITZERLAND,40417
NEW ZEALAND,40195
JAPAN,39296
BOLIVIA,37963
SLOVAKIA,37539
ISRAEL,37133
AZERBAIJAN,36274
GUATEMALA,35333
SINGAPORE,34307
SERBIA,33852
VENEZUELA,33710
CROATIA,31697
AMERICAN SAMOA,30033
NORWAY,29237
MOROCCO,29028
KYRGYZSTAN,28913
DENMARK,28332
IRAQ,26090
ANDORRA,25054
BULGARIA,24958
PAKISTAN,23043
MOLDOVA,22737
EL SALVADOR,22196
FINLAND,22105
PANAMA,20976
LITHUANIA,20718
GEORGIA,20625
HONDURAS,20380
PUERTO RICO,20208
BOSNIA & HERZEGOVINA,19813
LEBANON,19711
LATVIA,18286
DOMINICAN REPUBLIC,17408
JORDAN,16310
NEPAL,15743
SRI LANKA,15488
URUGUAY,14984
PARAGUAY,14972
ANGOLA,14911
TUNISIA,14219
ESTONIA,12520
TRINIDAD & TOBAGO,11801
ANTARCTICA,10024
NICARAGUA,9761
ANGUILLA,9694
SLOVENIA,9564
MYANMAR (BURMA),9141
KUWAIT,8917
CYPRUS,8187
NORTH MACEDONIA,8126
BAHRAIN,8014
ARUBA,7488
NORTH KOREA,7472
BAHAMAS,7419
KOSOVO,7408
CANARY ISLANDS,7185
SYRIA,6861
QATAR,6610
ASCENSION ISLAND,6434
MACAO SAR CHINA,6324
ANTIGUA & BARBUDA,5966
MALDIVES,5833
MALTA,5331
NIGERIA,5301
CAMBODIA,5139
OMAN,5057
PALESTINIAN TERRITORIES,4713
BRUNEI,4647
GUYANA,4441
KENYA,4379
MONTENEGRO,4377
MAURITIUS,3411
LUXEMBOURG,3340
ZIMBABWE,3198
CUBA,3148
CHRISTMAS ISLAND,3080
RÉUNION,3071
ICELAND,3005
BELIZE,2944
MONGOLIA,2903
YEMEN,2820
LIBYA,2714
JAMAICA,2530
TAJIKISTAN,2515
SUDAN,2509
BRITISH VIRGIN ISLANDS,2502
GHANA,2408
ETHIOPIA,2026
TURKMENISTAN,2015
BHUTAN,1992
BARBADOS,1976
TANZANIA,1847
BERMUDA,1666
GUAM,1653
FIJI,1531
BRITISH INDIAN OCEAN TERRITORY,1477
FRENCH POLYNESIA,1473
BOTSWANA,1453
JERSEY,1407
MADAGASCAR,1384
CHAD,1345
ISLE OF MAN,1292
BENIN,1179
ZAMBIA,1172
NIGER,1170
SURINAME,1122
CAMEROON,1102
CARIBBEAN NETHERLANDS,1099
UGANDA,1087
GUADELOUPE,1073
CEUTA & MELILLA,1073
CAPE VERDE,1072
CAYMAN ISLANDS,1043
CÔTE D’IVOIRE,1027
MONACO,1010
FRENCH GUIANA,994
BURUNDI,915
GIBRALTAR,885
DOMINICA,863
CENTRAL AFRICAN REPUBLIC,848
MARTINIQUE,844
GUERNSEY,844
FRENCH SOUTHERN TERRITORIES,835
NEW CALEDONIA,818
BURKINA FASO,798
SENEGAL,745
U.S. VIRGIN ISLANDS,728
CURAÇAO,725
MOZAMBIQUE,723
LAOS,718
NAMIBIA,694
NORTHERN MARIANA ISLANDS,682
COCOS (KEELING) ISLANDS,654
GREENLAND,608
VATICAN CITY,598
CONGO - KINSHASA,591
SOMALIA,574
HAITI,556
RWANDA,507
COMOROS,482
COOK ISLANDS,482
CONGO - BRAZZAVILLE,461
MALI,454
SOUTH SUDAN,446
MARSHALL ISLANDS,444
MALAWI,435
SAN MARINO,430
GABON,430
EQUATORIAL GUINEA,429
GRENADA,423
PITCAIRN ISLANDS,416
ERITREA,396
DJIBOUTI,392
FAROE ISLANDS,373
MAURITANIA,364
ESWATINI,358
SAMOA,356
DIEGO GARCIA,355
MAYOTTE,354
LIECHTENSTEIN,348
U.S. OUTLYING ISLANDS,337
TURKS & CAICOS ISLANDS,333
WALLIS & FUTUNA,321
PAPUA NEW GUINEA,319
TOGO,316
VANUATU,302
MICRONESIA,295
SINT MAARTEN,293
GUINEA,289
ST. MARTIN,276
GAMBIA,276
PALAU,272
LIBERIA,269
ST. LUCIA,258
FALKLAND ISLANDS,257
WESTERN SAHARA,251
SEYCHELLES,212
SOUTH GEORGIA & SOUTH SANDWICH ISLANDS,189
MONTSERRAT,187
SIERRA LEONE,186
TIMOR-LESTE,182
ÅLAND ISLANDS,166
ST. VINCENT & GRENADINES,162
TONGA,156
LESOTHO,153
ST. KITTS & NEVIS,153
SÃO TOMÉ & PRÍNCIPE,149
GUINEA-BISSAU,139
ST. PIERRE & MIQUELON,136
NORFOLK ISLAND,135
KIRIBATI,132
TUVALU,131
SOLOMON ISLANDS,124
ST. HELENA,122
SVALBARD & JAN MAYEN,112
NAURU,111
NIUE,110
TOKELAU,106
ST. BARTHÉLEMY,104
TRISTAN DA CUNHA,84
PSEUDO-BIDI,1
